gene_id	tx_id	gene_p	tx_p	prop_0	prop_1
SCP2	ENST00000371514.8	0.348041054101159		0.716079584215835	0.496074922283396
SCP2	ENST00000435345.6	0.348041054101159		0.131912509139336	0.318018537841234
SCP2	ENST00000478631.6	0.348041054101159		0.111572112327537	0.142506847796853
SCP2	ENST00000408941.7	0.348041054101159		0.0404357943172922	0.043399692078516496
ALB	ENST00000295897.9	0.989678276470913		0.925393085683567	0.9311423382167611
ALB	ENST00000511370.1	0.989678276470913		0.027293215509974805	0.024778947295521898
ALB	ENST00000503124.5	0.989678276470913		0.0323982099668334	0.0302142088720727
ALB	ENST00000415165.6	0.989678276470913		0.014915488839625	0.013864505615644099
JAK1	ENST00000673220.1	0.989678276470913		0.518113479548154	0.456730183141793
JAK1	ENST00000672434.2	0.989678276470913		0.309864482740667	0.357858042362444
JAK1	ENST00000673502.2	0.989678276470913		0.172022037711179	0.185411774495763
