geneID	txID	gene	transcript
SCP2	ENST00000371514.8	0.348041054101159	NA
SCP2	ENST00000435345.6	0.348041054101159	NA
SCP2	ENST00000478631.6	0.348041054101159	NA
SCP2	ENST00000408941.7	0.348041054101159	NA
ALB	ENST00000295897.9	0.989678276470913	NA
ALB	ENST00000511370.1	0.989678276470913	NA
ALB	ENST00000503124.5	0.989678276470913	NA
ALB	ENST00000415165.6	0.989678276470913	NA
JAK1	ENST00000673220.1	0.989678276470913	NA
JAK1	ENST00000672434.2	0.989678276470913	NA
JAK1	ENST00000673502.2	0.989678276470913	NA
