ID	mRNA	ORF_strand	ORF_frame	ORF_start	ORF_end	ORF	Fickett	Hexamer	Coding_prob
ENST00000673502.2_ORF_1	6251	+	2	452	2578	2127	1.0941	0.350382249629602	0.999999999550556
ENST00000673502.2_ORF_2	6251	+	2	3425	4924	1500	1.0655	0.258823831697014	0.999999037815066
ENST00000673502.2_ORF_3	6251	+	2	89	367	279	0.7402	-0.13653018991926	0.0346649565639216
ENST00000673502.2_ORF_4	6251	+	3	2715	2939	225	0.7117	0.0172185239836378	0.0432666453876816
ENST00000673502.2_ORF_5	6251	+	3	3387	3566	180	1.0632	-0.153265320604623	0.0316009425668159
ENST00000699311.1_ORF_1	5097	+	2	1622	3769	2148	1.0707	0.344743555101349	0.999999999625844
ENST00000699311.1_ORF_2	5097	+	1	310	1644	1335	1.1019	0.341298755682123	0.999996940639293
ENST00000699311.1_ORF_3	5097	+	3	2439	2615	177	1.0658	-0.119932166509675	0.0398675689926896
ENST00000699311.1_ORF_4	5097	+	2	3854	4012	159	0.5211	-0.184464975678103	0.00349763366971839
ENST00000699311.1_ORF_5	5097	+	2	659	811	153	1.133	-0.184265799776661	0.0263711375046257
ENST00000673220.1_ORF_1	7780	+	2	3821	5722	1902	1.2748	0.394559532919606	0.999999997514762
ENST00000673220.1_ORF_2	7780	+	1	5962	6561	600	0.7873	0.092025196960636	0.849413008937882
ENST00000673220.1_ORF_3	7780	+	1	298	687	390	0.972	0.317316441883544	0.799694330925382
ENST00000673220.1_ORF_4	7780	+	3	1692	1973	282	0.5517	-0.182259684086225	0.01333010938632
ENST00000673220.1_ORF_5	7780	+	2	1742	2002	261	0.6078	-0.307680585553753	0.00601804418122565
ENST00000672434.2_ORF_1	5258	+	1	466	3930	3465	1.1154	0.344740526272072	1
ENST00000672434.2_ORF_2	5258	+	3	75	404	330	0.5612	-0.0228986620778142	0.0672816462436006
ENST00000672434.2_ORF_3	5258	+	2	2600	2776	177	1.0658	-0.119932166509675	0.0395310250262105
ENST00000672434.2_ORF_4	5258	+	1	4015	4173	159	0.5211	-0.184464975678103	0.00346699959835896
ENST00000672434.2_ORF_5	5258	+	2	815	967	153	1.133	-0.184265799776661	0.0261454218467208
ENST00000408941.7_ORF_1	1298	+	3	84	263	180	0.8991	-0.0681364617030853	0.03916673492672
ENST00000408941.7_ORF_2	1298	+	2	236	385	150	1.0351	0.12929390506352	0.133688675102165
ENST00000408941.7_ORF_3	1298	+	1	562	690	129	0.8872	-0.174716037032887	0.0114491195799062
ENST00000408941.7_ORF_4	1298	+	1	829	948	120	0.7813	-0.455604502012374	0.00132029148089275
ENST00000478631.6_ORF_1	5204	+	1	121	1221	1101	0.9844	0.0919517462727666	0.99971288394515
ENST00000478631.6_ORF_2	5204	+	2	3845	4507	663	1.1971	0.276780329623832	0.993999402485279
ENST00000478631.6_ORF_3	5204	+	1	3397	3870	474	1.024	0.262099176790411	0.909667850461298
ENST00000478631.6_ORF_4	5204	+	3	3084	3554	471	0.9436	0.321887601013204	0.913858376376229
ENST00000478631.6_ORF_5	5204	+	3	2814	3041	228	1.1379	0.262494852187047	0.488106543207429
ENST00000371514.8_ORF_1	2759	+	2	122	1765	1644	1.0656	0.136639069649216	0.999999667114964
ENST00000371514.8_ORF_2	2759	+	3	573	740	168	1.1548	-0.136535121181755	0.0498332024616296
ENST00000371514.8_ORF_3	2759	+	1	1942	2070	129	0.8872	-0.174716037032887	0.010577045381241
ENST00000371514.8_ORF_4	2759	+	1	2209	2328	120	0.7813	-0.455604502012374	0.00121877429843762
ENST00000371514.8_ORF_5	2759	+	3	267	368	102	0.9872	-0.260465652276207	0.00658638700914217
ENST00000435345.6_ORF_1	894	+	3	54	485	432	1.1159	0.217401565117138	0.892982834237498
ENST00000435345.6_ORF_2	894	+	2	662	790	129	0.8872	-0.174716037032887	0.0117025674120727
ENST00000435345.6_ORF_3	894	+	1	280	363	84	0.7956	-0.251112265000962	0.00327231060870842
ENST00000503124.5_ORF_1	1741	+	1	208	1587	1380	0.9481	0.145002703457374	0.999991397195487
ENST00000503124.5_ORF_2	1741	+	2	248	478	231	1.0564	0.00646610614413455	0.159931742000954
ENST00000503124.5_ORF_3	1741	+	2	1310	1429	120	0.9772	-0.23915597209683	0.00933965965035711
ENST00000503124.5_ORF_4	1741	+	2	770	871	102	0.8797	-0.258187555295947	0.0048831458036661
ENST00000503124.5_ORF_5	1741	+	1	28	114	87	0.5486	-0.233116260978242	0.001540500742094
ENST00000511370.1_ORF_1	1519	+	2	497	1363	867	0.9536	0.145705647030153	0.997425345689267
ENST00000511370.1_ORF_2	1519	+	3	24	254	231	1.0564	0.00646610614413455	0.161573944435174
ENST00000511370.1_ORF_3	1519	+	3	1086	1205	120	0.9772	-0.23915597209683	0.00945296056403324
ENST00000511370.1_ORF_4	1519	+	3	546	647	102	0.8797	-0.258187555295947	0.00494265376330369
ENST00000511370.1_ORF_5	1519	+	3	345	431	87	1.1529	0.0985673645735106	0.0857975810236712
ENST00000415165.6_ORF_1	1483	+	3	42	1295	1254	0.9427	0.155289598004584	0.999966759371078
ENST00000415165.6_ORF_2	1483	+	1	1018	1137	120	0.9772	-0.23915597209683	0.00947146153025465
ENST00000415165.6_ORF_3	1483	+	1	478	579	102	0.8797	-0.258187555295947	0.00495237146647451
ENST00000415165.6_ORF_4	1483	+	1	277	363	87	1.1529	0.0985673645735106	0.0859525352276689
ENST00000295897.9_ORF_1	2285	+	3	42	1871	1830	0.9221	0.125918460033801	0.999999929147644
ENST00000295897.9_ORF_2	2285	+	1	532	762	231	1.0564	0.00646610614413455	0.155964748345779
ENST00000295897.9_ORF_3	2285	+	1	280	462	183	0.9563	0.0525869505210301	0.0918905217325675
ENST00000295897.9_ORF_4	2285	+	1	1594	1713	120	0.9772	-0.23915597209683	0.00906767693975397
ENST00000295897.9_ORF_5	2285	+	1	1054	1155	102	0.8797	-0.258187555295947	0.00474032142147114
