seq_ID	ID	mRNA	ORF_strand	ORF_frame	ORF_start	ORF_end	ORF	Fickett	Hexamer	Coding_prob
ENST00000673502.2	ENST00000673502.2_ORF_1	6251	+	2	452	2578	2127	1.0941	0.350382249629602	0.999999999550556
ENST00000699311.1	ENST00000699311.1_ORF_1	5097	+	2	1622	3769	2148	1.0707	0.344743555101349	0.999999999625844
ENST00000673220.1	ENST00000673220.1_ORF_1	7780	+	2	3821	5722	1902	1.2748	0.394559532919606	0.999999997514762
ENST00000672434.2	ENST00000672434.2_ORF_1	5258	+	1	466	3930	3465	1.1154	0.344740526272072	1
ENST00000408941.7	ENST00000408941.7_ORF_2	1298	+	2	236	385	150	1.0351	0.12929390506352	0.133688675102165
ENST00000478631.6	ENST00000478631.6_ORF_1	5204	+	1	121	1221	1101	0.9844	0.0919517462727666	0.99971288394515
ENST00000371514.8	ENST00000371514.8_ORF_1	2759	+	2	122	1765	1644	1.0656	0.136639069649216	0.999999667114964
ENST00000435345.6	ENST00000435345.6_ORF_1	894	+	3	54	485	432	1.1159	0.217401565117138	0.892982834237498
ENST00000503124.5	ENST00000503124.5_ORF_1	1741	+	1	208	1587	1380	0.9481	0.145002703457374	0.999991397195487
ENST00000511370.1	ENST00000511370.1_ORF_1	1519	+	2	497	1363	867	0.9536	0.145705647030153	0.997425345689267
ENST00000415165.6	ENST00000415165.6_ORF_1	1483	+	3	42	1295	1254	0.9427	0.155289598004584	0.999966759371078
ENST00000295897.9	ENST00000295897.9_ORF_1	2285	+	3	42	1871	1830	0.9221	0.125918460033801	0.999999929147644
